Tijdstempel,participant_number,group,use_frequently,too_complex,easy_use,need_support,well_integrated,too_inconsistent,quick_learn,cumbersome,confident,need_learn
12-10-2020 19:26:26,19,1,3,5,2,5,3,2,3,4,2,4
13-10-2020 13:30:28,21,2,4,3,3,2,3,3,4,2,2,3
13-10-2020 17:41:29,20,1,4,1,4,1,5,1,5,1,5,1
13-10-2020 18:27:28,17,2,5,5,4,2,4,1,4,2,3,3
13-10-2020 18:55:59,16,1,4,2,3,2,4,1,3,2,4,1
14-10-2020 11:20:27,1,1,4,3,4,3,4,2,5,3,2,2
14-10-2020 12:13:08,13,2,3,2,3,1,4,2,4,2,3,1
14-10-2020 12:31:31,26,2,3,2,5,2,4,2,4,2,2,2
14-10-2020 13:16:48,3,2,1,1,1,5,2,3,1,5,2,4
14-10-2020 13:55:36,14,1,4,1,2,2,3,2,4,2,4,2
14-10-2020 14:27:53,5,2,4,1,4,1,3,3,4,3,2,1
14-10-2020 15:17:57,4,1,3,1,4,1,3,3,5,2,4,1
14-10-2020 19:16:02,11,1,2,1,4,2,3,2,4,2,5,2
14-10-2020 19:32:32,18,2,2,4,2,5,2,3,3,4,2,5
14-10-2020 19:48:11,15,2,3,1,5,1,4,1,4,1,2,2
14-10-2020 22:02:24,8,1,3,2,4,1,3,4,5,2,4,1
14-10-2020 23:05:49,22,2,3,4,3,2,3,1,4,3,3,2
15-10-2020 14:34:49,27,1,2,2,2,4,4,4,2,4,2,2
16-10-2020 15:16:33,12,2,1,2,4,1,5,1,4,3,5,1
16-10-2020 16:19:10,7,2,4,1,4,2,5,1,5,2,4,1
17-10-2020 12:18:55,9,1,2,3,4,4,5,1,5,2,4,4
17-10-2020 16:56:10,25,1,2,1,3,5,4,4,3,4,1,3
18-10-2020 21:10:16,23,1,5,1,4,4,5,2,3,2,4,1
19-10-2020 21:34:03,10,2,4,3,4,1,4,1,5,3,3,1
